Tipo;Ítem inventariable;Producto con variantes;Venta en negativo;Nombre;Referencia;Unidad de medida;Categoría;Descripción;Costo inicial;Precio base;Impuesto;Precio total;Precio: General;Código cuenta contable;Cuenta contable;Código cuenta de inventario;Cuenta de inventario;Código cuenta de costo de venta;Cuenta de costo de venta;Código de barras
Producto;Si;No;Si;CINTURON LOPA NIQUEL SUELA 115;MC040480102-115;Unidad;CINTURON;CINTURON;89990;99990;;99990;99990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;.CARTERA AMARILLA TAMPONATO SUELA;MG010060202;Unidad;MARRO GRANDE;CARTERA;79990;79990;;79990;79990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;.CARTERA AMARILLA BRIDGE ROJO;MG010060307;Unidad;MARRO GRANDE;CARTERA;39990;39990;;39990;39990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;.CARTERA AMARILLA BRIDGE VERDE;MG010060310;Unidad;MARRO GRANDE;CARTERA;39990;39990;;39990;39990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BANDOLERA CASIOPEA NAPADO SUELA;MG010820102;Unidad;MARRO GRANDE;BANDOLERA;124990;129990;;129990;129990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;.CARTERA MINI APHOLO TAMPONATO SUELA;MG010170202;Unidad;MARRO GRANDE;CARTERA;81990;81990;;81990;81990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;.CARTERA MINI APHOLO GAMUZA MOSTAZA/TABACO;MG010170551;Unidad;MARRO GRANDE;CARTERA;81990;81990;;81990;81990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;.CARTERA MINI APHOLO BRIDGE NEGRO;MG010170301;Unidad;MARRO GRANDE;CARTERA;81990;81990;;81990;81990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;.CARTERA MINI APHOLO BRIDGE CARAMELO;MG010170303;Unidad;MARRO GRANDE;CARTERA;81990;81990;;81990;81990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;.CARTERA MINI APHOLO BRIDGE TABACO;MG010170304;Unidad;MARRO GRANDE;CARTERA;81990;81990;;81990;81990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;.CARTERA MINI APHOLO BRIDGE ROJO;MG010170307;Unidad;MARRO GRANDE;CARTERA;81990;81990;;81990;81990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;.CARTERA MINI APHOLO BRIDGE AZUL;MG010170309;Unidad;MARRO GRANDE;CARTERA;81990;81990;;81990;81990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;.CARTERA MINI APHOLO BRIDGE VERDE;MG010170310;Unidad;MARRO GRANDE;CARTERA;81990;81990;;81990;81990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;.CARTERA APHOLO BRIDGE NEGRO;MG010070301;Unidad;MARRO GRANDE;CARTERA;101990;101990;;101990;101990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;.CARTERA APHOLO BRIDGE VERDE;MG010070310;Unidad;MARRO GRANDE;CARTERA;101990;101990;;101990;101990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;.CARTERA APHOLO BRIDGE AZUL;MG010070309;Unidad;MARRO GRANDE;CARTERA;101990;101990;;101990;101990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;CARTERA BAULITO GAMUZA VESUBIO/TABACO;MG010090550;Unidad;MARRO GRANDE;CARTERA;0;149990;;149990;149990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;CARTERA BAULITO GAMUZA MOSTAZA/TABACO;MG010090551;Unidad;MARRO GRANDE;CARTERA;0;149990;;149990;149990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;CARTERA BAULITO GAMUZA CHOCOLATE/TABACO;MG010090552;Unidad;MARRO GRANDE;CARTERA;0;149990;;149990;149990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;CARTERA BAULITO NAPADO NEGRO;MG010090101;Unidad;MARRO GRANDE;CARTERA;119990;149990;;149990;149990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;CARTERA BAULITO NAPADO SUELA;MG010090102;Unidad;MARRO GRANDE;CARTERA;0;149990;;149990;149990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;CARTERA BAULITO BRIDGE TABACO;MG010090304;Unidad;MARRO GRANDE;CARTERA;0;149990;;149990;149990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;CARTERA BAULITO BRIDGE AZUL;MG010090309;Unidad;MARRO GRANDE;CARTERA;119990;149990;;149990;149990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BANDOLERA CASIOPEA NAPADO CARAMELO;MG010820103;Unidad;MARRO GRANDE;BANDOLERA;124990;129990;;129990;129990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BANDOLERA CASIOPEA NAPADO ROJO;MG010820107;Unidad;MARRO GRANDE;BANDOLERA;124990;129990;;129990;129990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;MOCHILA MARCOS TAMPONATO NEGRO;MG010190201;Unidad;MARRO GRANDE;MOCHILA;389990;429990;;429990;429990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;MOCHILA MARCOS TAMPONATO SUELA;MG010190202;Unidad;MARRO GRANDE;MOCHILA;389990;429990;;429990;429990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;MOCHILA MARCOS NAPADO SUELA;MG010190102;Unidad;MARRO GRANDE;MOCHILA;389990;429990;;429990;429990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;MOCHILA MARCOS NAPADO NEGRO;MG010190101;Unidad;MARRO GRANDE;MOCHILA;389990;429990;;429990;429990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BANDOLERA CASIOPEA NAPADO AZUL;MG010820109;Unidad;MARRO GRANDE;BANDOLERA;124990;129990;;129990;129990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BANDOLERA MINI GAMUZA VESUBIO/NEGRO;MG010310550-01;Unidad;MARRO GRANDE;BANDOLERA;6990;6990;;6990;6990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BANDOLERA MINI GAMUZA AVELLANA/CARAMELO;MG010310555-03;Unidad;MARRO GRANDE;BANDOLERA;6990;6990;;6990;6990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BANDOLERA MINI GAMUZA AVELLANA/TABACO;MG010310555-04;Unidad;MARRO GRANDE;BANDOLERA;6990;6990;;6990;6990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BANDOLERA MINI GAMUZA OXIDO/CARAMELO;MG010310556-03;Unidad;MARRO GRANDE;BANDOLERA;6990;6990;;6990;6990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BANDOLERA MINI GAMUZA OXIDO/TABACO;MG010310556-04;Unidad;MARRO GRANDE;BANDOLERA;6990;6990;;6990;6990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;.CARTERA MINI APHOLO GAMUZA AVELLANA/NEGRO;MG010170555-1;Unidad;MARRO GRANDE;CARTERA;81990;81990;;81990;81990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;.CARTERA MINI APHOLO GAMUZA OXIDO/TABACO;MG010170556-4;Unidad;MARRO GRANDE;CARTERA;81990;81990;;81990;81990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BANDOLERA SAGITTA NAPADO NEGRO;MG010810101;Unidad;MARRO GRANDE;BANDOLERA;112990;119990;;119990;119990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;.CARTERA JUJUY BRIDGE CARAMELO;MG010150303;Unidad;MARRO GRANDE;CARTERA;16990;16990;;16990;16990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;CARTERA ADRIANA BRIDGE NEGRO;MG010050301;Unidad;MARRO GRANDE;CARTERA;16990;16990;;16990;16990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;CARTERA ADRIANA BRIDGE TABACO;MG010050304;Unidad;MARRO GRANDE;CARTERA;16990;16990;;16990;16990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;MORRAL ADI VINTAGE TAMPONATO SUELA;MG010240202;Unidad;MARRO GRANDE;BANDOLERA;284990;299990;;299990;299990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;MORRAL ADI VINTAGE TAMPONATO NEGRO;MG010240201;Unidad;MARRO GRANDE;BANDOLERA;284990;299990;;299990;299990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;.CARTERA MINI APHOLO GAMUZA OXIDO/NEGRO;MG010170556-1;Unidad;MARRO GRANDE;CARTERA;81990;81990;;81990;81990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;PORTABILLETES CRATER NAPADO NEGRO;MC020490101;Unidad;MARRO CHICA;PORTABILLETES;28990;28990;;28990;28990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;PORTABILLETES CRATER NAPADO SUELA;MC020490102;Unidad;MARRO CHICA;PORTABILLETES;28990;28990;;28990;28990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;PORTABILLETES CRATER NAPADO VERDE;MC020490110;Unidad;MARRO CHICA;PORTABILLETES;28990;28990;;28990;28990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BOLSO TUBO GRANDE GAMUZA AVELLANA/NEGRO;MG010100555-1;Unidad;MARRO GRANDE;BOLSO;399990;429990;;429990;429990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;.INACTIVO;D007;Unidad;DISC;INACTIVO;0;0;;0;0;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;SOBRE GEMINI NAPADO NEGRO;MG010800101;Unidad;MARRO GRANDE;SOBRE;79990;79990;;79990;79990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BOLSO URBANO NAPADO NEGRO;MG010080101;Unidad;MARRO GRANDE;BOLSO;214990;199990;;199990;199990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;CINTURON LOPA NIQUEL SUELA 120;MC040480102-120;Unidad;CINTURON;CINTURON;89990;99990;;99990;99990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;CINTURON LOPA NIQUEL NEGRO 85;MC040480101-85;Unidad;CINTURON;CINTURON;89990;99990;;99990;99990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;CINTURON LOPA NIQUEL NEGRO 90;MC040480101-90;Unidad;CINTURON;CINTURON;89990;99990;;99990;99990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;CINTURON LOPA NIQUEL NEGRO 95;MC040480101-95;Unidad;CINTURON;CINTURON;89990;99990;;99990;99990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BOLSO TUBO GRANDE NAPADO NEGRO;MG010100101;Unidad;MARRO GRANDE;BOLSO;399990;429990;;429990;429990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BOLSO TUBO GRANDE NAPADO SUELA;MG010100102;Unidad;MARRO GRANDE;BOLSO;399990;429990;;429990;429990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BOLSO TUBO GRANDE BRIDGE NEGRO;MG010100301;Unidad;MARRO GRANDE;BOLSO;399990;429990;;429990;429990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BOLSO TUBO GRANDE BRIDGE CARAMELO;MG010100303;Unidad;MARRO GRANDE;BOLSO;399990;429990;;429990;429990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BOLSO TUBO GRANDE GAMUZA VESUBIO/TABACO;MG010100550;Unidad;MARRO GRANDE;BOLSO;399990;429990;;429990;429990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BOLSO TUBO GRANDE GAMUZA MOSTAZA/TABACO;MG010100551;Unidad;MARRO GRANDE;BOLSO;399990;429990;;429990;429990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BOLSO TUBO GRANDE TAMPONATO NEGRO;MG010100201;Unidad;MARRO GRANDE;BOLSO;399990;429990;;429990;429990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BOLSO TUBO MERCEDES NAPADO NEGRO;MG010110101;Unidad;MARRO GRANDE;BOLSO;134990;134990;;134990;134990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BOLSO TUBO MERCEDES NAPADO SUELA;MG010110102;Unidad;MARRO GRANDE;BOLSO;134990;134990;;134990;134990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BOLSO TUBO MERCEDES TAMPONATO NEGRO;MG010110201;Unidad;MARRO GRANDE;BOLSO;134990;134990;;134990;134990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BOLSO TUBO MERCEDES BRIDGE NEGRO;MG010110301;Unidad;MARRO GRANDE;BOLSO;134990;134990;;134990;134990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BOLSO TUBO MERCEDES BRIDGE CARAMELO;MG010110303;Unidad;MARRO GRANDE;BOLSO;134990;134990;;134990;134990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BOLSO TUBO MERCEDES BRIDGE TABACO;MG010110304;Unidad;MARRO GRANDE;BOLSO;134990;134990;;134990;134990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BOLSO TUBO MERCEDES GAMUZA VESUBIO/TABACO;MG010110550;Unidad;MARRO GRANDE;BOLSO;134990;134990;;134990;134990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BOLSO TUBO MERCEDES GAMUZA MOSTAZA/TABACO;MG010110551;Unidad;MARRO GRANDE;BOLSO;134990;134990;;134990;134990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BANDOLERA SAGITTA NAPADO SUELA;MG010810102;Unidad;MARRO GRANDE;BANDOLERA;112990;119990;;119990;119990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;SOBRE GEMINI NAPADO SUELA;MG010800102;Unidad;MARRO GRANDE;SOBRE;79990;79990;;79990;79990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BANDOLERA SAGITTA NAPADO ROJO;MG010810107;Unidad;MARRO GRANDE;BANDOLERA;112990;119990;;119990;119990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;CINTURON LOPA NIQUEL NEGRO 105;MC040480101-105;Unidad;CINTURON;CINTURON;89990;99990;;99990;99990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;CINTURON LOPA NIQUEL NEGRO 115;MC040480101-115;Unidad;CINTURON;CINTURON;89990;99990;;99990;99990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;PORTAFOLIO ADRIAN NAPADO SUELA;MG010220102;Unidad;MARRO GRANDE;PORTAFOLIO;18990;18990;;18990;18990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;PORTAFOLIO ADRIAN TAMPONATO NEGRO;MG010220201;Unidad;MARRO GRANDE;PORTAFOLIO;18990;18990;;18990;18990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;PORTAFOLIO ADRIAN TAMPONATO SUELA;MG010220202;Unidad;MARRO GRANDE;PORTAFOLIO;18990;18990;;18990;18990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;PORTAFOLIO ADRIAN TAMPONATO LONDON;MG010220205;Unidad;MARRO GRANDE;PORTAFOLIO;18990;18990;;18990;18990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BANDOLERA NATY SIMPLE BRIDGE ROJO;MG010290307;Unidad;MARRO GRANDE;BANDOLERA;89990;89990;;89990;89990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BANDOLERA NATY SIMPLE BRIDGE AZUL;MG010290309;Unidad;MARRO GRANDE;BANDOLERA;89990;89990;;89990;89990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BANDOLERA NATY SIMPLE GAMUZA VESUBIO/TABACO;MG010290550;Unidad;MARRO GRANDE;BANDOLERA;89990;89990;;89990;89990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BANDOLERA SAGITTA NAPADO AZUL;MG010810109;Unidad;MARRO GRANDE;BANDOLERA;112990;99990;;99990;99990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BANDOLERA SAGITTA NAPADO CARAMELO;MG010810103;Unidad;MARRO GRANDE;BANDOLERA;112990;119990;;119990;119990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;PORTAFOLIO RUBEN BRIDGE GRIS;MG010420312;Unidad;MARRO GRANDE;PORTAFOLIO;31990;349990;;349990;349990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BANDOLERA MINI GAMUZA VESUBIO/TABACO;MG010310550;Unidad;MARRO GRANDE;BANDOLERA;6990;6990;;6990;6990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BANDOLERA MINI BRIDGE AZUL;MG010310309;Unidad;MARRO GRANDE;BANDOLERA;6990;6990;;6990;6990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;CARTERA DOS HEBILLAS BRIDGE TABACO;MG010330304;Unidad;MARRO GRANDE;CARTERA;0;149990;;149990;149990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;CARTERA DOS HEBILLAS GAMUZA VESUBIO/TABACO;MG010330550;Unidad;MARRO GRANDE;CARTERA;0;149990;;149990;149990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;MOCHILA CAMI BRIDGE ROJO;MG010320307;Unidad;MARRO GRANDE;MOCHILA;49990;49990;;49990;49990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;MOCHILA CAMI GAMUZA VESUBIO;MG010320550;Unidad;MARRO GRANDE;MOCHILA;49990;49990;;49990;49990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;PORTAFOLIO RUBEN BRIDGE NEGRO;MG010420301;Unidad;MARRO GRANDE;PORTAFOLIO;325990;349990;;349990;349990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;PORTAFOLIO RUBEN BRIDGE TABACO;MG010420304;Unidad;MARRO GRANDE;PORTAFOLIO;325990;349990;;349990;349990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;RIÑONERA BOLSILLOS BRIDGE NEGRO;MG010350301;Unidad;MARRO GRANDE;RIÑONERA;99990;99990;;99990;99990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;RIÑONERA BOLSILLOS BRIDGE TABACO;MG010350304;Unidad;MARRO GRANDE;RIÑONERA;99990;99990;;99990;99990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;RIÑONERA BOLSILLOS TAMPONATO SUELA;MG010350202;Unidad;MARRO GRANDE;RIÑONERA;99990;99990;;99990;99990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;RIÑONERA CRUZ S BRIDGE NEGRO;MG010400301-S;Unidad;MARRO GRANDE;RIÑONERA;65990;69990;;69990;69990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;RIÑONERA CRUZ S BRIDGE CAMEL;MG010400311-S;Unidad;MARRO GRANDE;RIÑONERA;65990;69990;;69990;69990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;RIÑONERA PARIS VAQUETA LONDON;MG010390405;Unidad;MARRO GRANDE;RIÑONERA;82990;82990;;82990;82990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;RIÑONERA PARIS VAQUETA SUELA/NEGRO;MG010390402;Unidad;MARRO GRANDE;RIÑONERA;82990;82990;;82990;82990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;NECESSAIRE NAPADO NEGRO;MC010010101;Unidad;MARRO CHICA;NECESSAIRE;119990;121990;;121990;121990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;SOBRE PAMPA CHICO NAPADO NEGRO;MC020250101;Unidad;MARRO CHICA;SOBRE;10990;10990;;10990;10990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;SOBRE PAMPA CHICO NAPADO SUELA;MC020250102;Unidad;MARRO CHICA;SOBRE;10990;10990;;10990;10990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;SOBRE PAMPA CHICO ROJO;AS-MC010350307;Unidad;MARRO CHICA;MARRO CHICA;19990;19990;;19990;19990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;SOBRE PAMPA CHICO BRIDGE AZUL;MC020250309;Unidad;MARRO CHICA;SOBRE;10990;10990;;10990;10990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;SOBRE PAMPA CHICO BRIDGE CARAMELO;MC020250303;Unidad;MARRO CHICA;SOBRE;10990;10990;;10990;10990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;SOBRE PAMPA GRANDE NAPADO NEGRO;MC020030101;Unidad;MARRO CHICA;SOBRE;12990;12990;;12990;12990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;SOBRE PAMPA GRANDE NAPADO SUELA;MC020030102;Unidad;MARRO CHICA;SOBRE;12990;12990;;12990;12990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;TARJETERO ROMA NAPADO SUELA;MC020060102;Unidad;MARRO CHICA;TARJETERO;11990;11990;;11990;11990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;TARJETERO ROMA TAMPONATO NEGRO;MC020060201;Unidad;MARRO CHICA;TARJETERO;11990;11990;;11990;11990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;TARJETERO ROMA BRIDGE NEGRO;MC020060301;Unidad;MARRO CHICA;TARJETERO;11990;11990;;11990;11990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;TARJETERO ROMA BRIDGE CARAMELO;MC020060303;Unidad;MARRO CHICA;TARJETERO;11990;11990;;11990;11990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;TARJETERO ROMA BRIDGE TABACO;MC020060304;Unidad;MARRO CHICA;TARJETERO;11990;11990;;11990;11990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;TARJETERO ROMA VAQUETA SUELA;MC020060402;Unidad;MARRO CHICA;TARJETERO;11990;11990;;11990;11990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;TARJETERO ROMA VAQUETA LONDON;MC020060405;Unidad;MARRO CHICA;TARJETERO;11990;11990;;11990;11990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;TARJETERO BLACK BRIDGE CARAMELO;MC020080303;Unidad;MARRO CHICA;TARJETERO;8990;6990;;6990;6990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;TARJETERO BLACK BRIDGE TABACO;MC020080304;Unidad;MARRO CHICA;TARJETERO;8990;6990;;6990;6990;;Ventas;;Mercaderías;;Costo de la mercadería;
