Tienda	WeekdayName	IssuingDate	IssuedStatus	IssuingTime	TFSStatus	DeskID	TouristCountry	InvoiceNumber	TotalGrossAmount	TotalRefundAmount
San Telmo	jueves	 16/10/2025	Issued	12:07:47	Issued	1454538	AUSTRIA	150000844	79980	10397,4
San Telmo	jueves	 16/10/2025	Issued	16:53:31	Refunded by Global Blue	1454538	COLOMBIA	1500850	49990	6498,7
San Telmo	viernes	 17/10/2025	Issued	16:03:23	Processed by Global Blue	1454538	UNITED STATES	150000859	299990	38998,7
San Telmo	sábado	 18/10/2025	Issued	14:30:14	Processed by Global Blue	1454538	MEXICO	150000869	283980	36917,4
San Telmo	domingo	 19/10/2025	Issued	11:37:43	Processed by Global Blue	1454538	UNITED STATES	1500000884	199980	25997,4
San Telmo	domingo	 19/10/2025	Issued	12:21:14	Issued	1454538	AUSTRALIA	1500000888	49990	6498,7
San Telmo	domingo	 19/10/2025	Issued	12:53:28	Issued	1454538	COSTA RICA	1500000890	65990	8578,7
San Telmo	domingo	 19/10/2025	Issued	15:35:19	Processed by Global Blue	1454538	CANADA	150000896	51990	6758,7
San Telmo	lunes	 20/10/2025	Issued	13:18:30	Issued	1454538	PHILIPPINES	015-00902	149980	19497,4
San Telmo	martes	 21/10/2025	Issued	13:57:10	Issued	1454538	ISRAEL	150000907	111970	14556,1
San Telmo	martes	 21/10/2025	Issued	14:02:23	Issued	1454538	FRANCE	150000908	139990	18198,7
San Telmo	miércoles	 22/10/2025	Issued	14:26:05	Issued	1454538	MEXICO	1500000914	29990	3898,7
San Telmo	jueves	 23/10/2025	Issued	13:51:34	Issued	1454538	UNITED STATES	150000923	125990	16378,7
San Telmo	jueves	 23/10/2025	Issued	14:41:01	Issued	1454538	GERMANY	150000924	139990	18198,7
San Telmo	jueves	 23/10/2025	Issued	17:24:42	Processed by Global Blue	1454538	AFGHANISTAN	150927	393880	55143,2
San Telmo	jueves	 23/10/2025	Issued	17:33:28	Issued	1454538	RUSSIAN FEDERATION	150928	33980	4417,4
San Telmo	viernes	 24/10/2025	Issued	16:37:19	Issued	1454538	UNITED STATES	150944	226980	29507,4
San Telmo	viernes	 24/10/2025	Issued	16:42:20	Issued	1454538	UNITED STATES	150945	575970	80635,8
San Telmo	viernes	 24/10/2025	Issued	16:48:02	Issued	1454538	UNITED KINGDOM	150947	159980	20797,4
San Telmo	viernes	 24/10/2025	Issued	18:55:44	Processed by Global Blue	1454538	UNITED STATES	150949	191980	24957,4
San Telmo	sábado	 25/10/2025	Issued	13:06:25	Issued	1454538	SPAIN	150951	79990	10398,7
San Telmo	sábado	 25/10/2025	Issued	14:30:15	Issued	1454538	MALAYSIA	1500000953	99990	12998,7
San Telmo	domingo	 26/10/2025	Issued	13:30:52	Issued	1454538	BRAZIL	1500970	129990	16898,7
San Telmo	domingo	 26/10/2025	Issued	13:32:41	Issued	1454538	MEXICO	1500000972	119990	15598,7
San Telmo	domingo	 26/10/2025	Issued	13:55:37	Issued	1454538	PERU	150000974	59940	7792,2
San Telmo	domingo	 26/10/2025	Issued	16:07:58	Issued	1454538	UNITED STATES	1500000982	219980	28597,4
San Telmo	domingo	 26/10/2025	Issued	16:10:31	Issued	1454538	UNITED STATES	1500000983	109990	14298,7
San Telmo	domingo	 26/10/2025	Issued	16:26:42	Processed by Global Blue	1454538	NETHERLANDS	1500000984	329980	42897,4
San Telmo	domingo	 26/10/2025	Issued	18:39:10	Processed by Global Blue	1454538	CHILE	1500000987	219950	28593,5
San Telmo	martes	 28/10/2025	Issued	17:30:32	Issued	1454538	PERU	1500000999	99990	12998,7
San Telmo	miércoles	 29/10/2025	Issued	16:37:19	Issued	1454538	UNITED STATES	1500001005	79990	10398,7
