"Producto,""Creado el"",""Valor unitario"""
"ANILLO BOMBE (1) (17),""2025-10-23 15:34:53"",""0.0"""
"ANILLO BOMBE (1) (17),""2025-10-23 15:41:18"",""0.0"""
"Prueba,""2025-10-30 12:39:34"",""0.0"""
"[100010] BANDOLERA ANTONIETA (GAMUZA, AVELLANA),""2025-12-05 18:47:34"",""0.0"""
"[100013] BANDOLERA ANTONIETA (GAMUZA, VESUBIO),""2025-12-05 18:47:34"",""0.0"""
"[100017] BANDOLERA ANTONIETA (NAPADO, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100148] BILLETERA BEIJING (IGUANA, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101001] LLAVERO KAREN (VERDE/OXIDO),""2025-12-05 18:47:34"",""0.0"""
"[101786] TARJETERO RUBI (BRIDGE, ROJO),""2025-12-05 18:47:34"",""0.0"""
"[100981] LLAVERO KAREN (AZUL/OXIDO),""2025-12-05 18:47:34"",""0.0"""
"[101783] TARJETERO RUBI (BRIDGE, CARAMELO),""2025-12-05 18:47:34"",""0.0"""
"[101755] TARJETERO KENNY (BRIDGE, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101141] MONEDERO GRACE (BRIDGE, ROJO),""2025-12-05 18:47:34"",""0.0"""
"[101255] PHONEBAG TAURUS (NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100442] CARTERA AMARILLA SET SOBRE (BRIDGE, ROJO),""2025-12-05 18:47:34"",""0.0"""
"[100216] BILLETERA OSADIA (BRIDGE, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101104] MOCHILA PORTIA (BRIDGE, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100811] CINTURON VAQUETA (85, SUELA),""2025-12-05 18:47:34"",""0.0"""
"[100074] BANDOLERA NATY SIMPLE (NAPADO, ROJO),""2025-12-05 18:47:34"",""0.0"""
"[100055] BANDOLERA NATY (ROJO),""2025-12-05 18:47:34"",""0.0"""
"[100052] BANDOLERA NATY (AZUL),""2025-12-05 18:47:34"",""0.0"""
"[100053] BANDOLERA NATY (CARAMELO),""2025-12-05 18:47:34"",""0.0"""
"[100479] CARTERA BAULITO (BRIDGE, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101183] MORRAL LUCAS (CARAMELO),""2025-12-05 18:47:34"",""0.0"""
"[100054] BANDOLERA NATY (NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100546] CARTERA LISBOA (IGUANA, CARAMELO),""2025-12-05 18:47:34"",""0.0"""
"[100274] BOLSO URBANO (BRIDGE, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100427] CARTERA ACONCAGUA (BRIDGE, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100425] CARTERA ACONCAGUA (BRIDGE, CARAMELO),""2025-12-05 18:47:34"",""0.0"""
"[100424] CARTERA ACONCAGUA (BRIDGE, AZUL),""2025-12-05 18:47:34"",""0.0"""
"[101305] PORTAFOLIO OLDIE (BRIDGE, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101170] MORRAL BERLIN (CARAMELO),""2025-12-05 18:47:34"",""0.0"""
"[101628] SET POSAVASOS CUADRADO X4 (NAPADO, SUELA),""2025-12-05 18:47:34"",""0.0"""
"[100144] BILLETERA BEIJING (BRIDGE, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100804] CINTURON TRENZADO (120),""2025-12-05 18:47:34"",""0.0"""
"[101707] TARJETERO BILL (BRIDGE, ROJO),""2025-12-05 18:47:34"",""0.0"""
"[101176] MORRAL CARLOS (NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101706] TARJETERO BILL (BRIDGE, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100059] BANDOLERA NATY SIMPLE (BRIDGE, CARAMELO),""2025-12-05 18:47:34"",""0.0"""
"[101315] PORTAFOLIO VENUS CHICO (BRIDGE, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100494] CARTERA CHALTEN (BRIDGE, CARAMELO),""2025-12-05 18:47:34"",""0.0"""
"[100658] CINTURON ESPIGA (115, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100572] CARTERA MINI APHOLO SET SOBRE (BRIDGE, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100570] CARTERA MINI APHOLO SET SOBRE (BRIDGE, CARAMELO),""2025-12-05 18:47:34"",""0.0"""
"[100665] CINTURON ESPIGA (115, SUELA),""2025-12-05 18:47:34"",""0.0"""
"[100163] BILLETERA FICHERO (NAPADO, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100455] CARTERA AMARILLA SET SOBRE (IGUANA, ROJO),""2025-12-05 18:47:34"",""0.0"""
"[100547] CARTERA LISBOA (IGUANA, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100548] CARTERA LISBOA (IGUANA, ROJO),""2025-12-05 18:47:34"",""0.0"""
"[100553] CARTERA LISBOA (NAPADO, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100551] CARTERA LISBOA (NAPADO, CARAMELO),""2025-12-05 18:47:34"",""0.0"""
"[101395] PORTALENTES LUZ (IGUANA, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101470] PORTAPASAPORTE RON (IGUANA, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100544] CARTERA LISBOA (GAMUZA, VESUBIO/TABACO),""2025-12-05 18:47:34"",""0.0"""
"[101712] TARJETERO BILL (IGUANA, CARAMELO),""2025-12-05 18:47:34"",""0.0"""
"[100731] CINTURON MIA (L, ROJO),""2025-12-05 18:47:34"",""0.0"""
"[101469] PORTAPASAPORTE RON (IGUANA, CARAMELO),""2025-12-05 18:47:34"",""0.0"""
"[100164] BILLETERA FICHERO (NAPADO, ROJO),""2025-12-05 18:47:34"",""0.0"""
"[101144] MONEDERO GRACE (IGUANA, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101303] PORTAFOLIO OLDIE (BRIDGE, CARAMELO),""2025-12-05 18:47:34"",""0.0"""
"[100743] CINTURON PANAMA (85, TOSTADO),""2025-12-05 18:47:34"",""0.0"""
"[100448] CARTERA AMARILLA SET SOBRE (GAMUZA, AVELLANA/TABACO),""2025-12-05 18:47:34"",""0.0"""
"[101227] NECESSAIRE MINI MARCOS (BRIDGE, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100749] CINTURON PANAMA (115, TOSTADO),""2025-12-05 18:47:34"",""0.0"""
"[100123] BANDOLERA VICENTA (NAPADO, ROJO),""2025-12-05 18:47:34"",""0.0"""
"[100011] BANDOLERA ANTONIETA (GAMUZA, CAFE),""2025-12-05 18:47:34"",""0.0"""
"[100554] CARTERA LISBOA (NAPADO, ROJO),""2025-12-05 18:47:34"",""0.0"""
"[100041] BANDOLERA LENA (NAPADO, AZUL),""2025-12-05 18:47:34"",""0.0"""
"[100565] CARTERA MINI APHOLO C/CIERRE (BRIDGE, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101158] MORRAL ADI VINTAGE (BRIDGE, CARAMELO),""2025-12-05 18:47:34"",""0.0"""
"[100594] CARTERA YARA (BRIDGE, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100613] CARTUCHERA MONT FULL BLACK,""2025-12-05 18:47:34"",""0.0"""
"[101577] RIÑONERA EVAN FULL BLACK GRANDE,""2025-12-05 18:47:34"",""0.0"""
"[100188] BILLETERA LUCA (BRIDGE, CHOCOLATE),""2025-12-05 18:47:34"",""0.0"""
"[101159] MORRAL ADI VINTAGE (BRIDGE, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101386] PORTALENTES LUZ (BRIDGE, CHOCOLATE),""2025-12-05 18:47:34"",""0.0"""
"[101790] TARJETERO RUBI (FIORENTINO, CEDRO),""2025-12-05 18:47:34"",""0.0"""
"[100336] CAMISA LISA ALGODON (40, AMARILLO),""2025-12-05 18:47:34"",""0.0"""
"[100330] CAMISA CUADRITOS (40),""2025-12-05 18:47:34"",""0.0"""
"[100598] CARTERA YARA (IGUANA, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101654] SOBRE OMEGA (GAMUZA, AZUL),""2025-12-05 18:47:34"",""0.0"""
"SOBRE OMEGA (GAMUZA, GRIS MEDIO),""2025-12-05 18:47:34"",""0.0"""
"[101088] MOCHILA PACARI (BRIDGE, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100114] BANDOLERA VICENTA (GAMUZA, GRIS OSCURO),""2025-12-05 18:47:34"",""0.0"""
"[101853] ZAPATILLA URBANA (39, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101859] ZAPATILLA URBANA (45, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101860] ZAPATILLA URBANA (39, SUELA),""2025-12-05 18:47:34"",""0.0"""
"[101861] ZAPATILLA URBANA (40, SUELA),""2025-12-05 18:47:34"",""0.0"""
"[101865] ZAPATILLA URBANA (44, SUELA),""2025-12-05 18:47:34"",""0.0"""
"[101866] ZAPATILLA URBANA (45, SUELA),""2025-12-05 18:47:34"",""0.0"""
"[100243] BOLSO LIHUEN (BRIDGE, CARAMELO),""2025-12-05 18:47:34"",""0.0"""
"[100282] BOTA MORRIS (40),""2025-12-05 18:47:34"",""0.0"""
"[101299] PORTAFOLIO HUAPI (BRIDGE, MALBEC),""2025-12-05 18:47:34"",""0.0"""
"[101366] PORTALENTES COLBY (BRIDGE, CARAMELO),""2025-12-05 18:47:34"",""0.0"""
"[101374] PORTALENTES COLBY (IGUANA, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101375] PORTALENTES COLBY (IGUANA, ROJO),""2025-12-05 18:47:34"",""0.0"""
"[101345] PORTALAPTOP ELOY (MODENA, TABACO),""2025-12-05 18:47:34"",""0.0"""
"[103098] SOMBRERO ALGODON (XS, TOSTADO/NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101273] PORTACABLES (2) (MODENA, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101276] PORTACABLES (2) (VAQUETA, NATURAL),""2025-12-05 18:47:34"",""0.0"""
"[101274] PORTACABLES (2) (VAQUETA, CHOCOLATE),""2025-12-05 18:47:34"",""0.0"""
"[103099] SOMBRERO ALGODON (S, TOSTADO/NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101275] PORTACABLES (2) (VAQUETA, DULCE DE LECHE),""2025-12-05 18:47:34"",""0.0"""
"[101277] PORTACABLES (2) (VAQUETA, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101759] TARJETERO KENNY (NAPADO, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[103100] SOMBRERO ALGODON (M, TOSTADO/NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101557] RIÑONERA CRUZ L (BRIDGE, CARAMELO),""2025-12-05 18:47:34"",""0.0"""
"[103101] SOMBRERO ALGODON (L, TOSTADO/NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100821] CORREA LOLI (NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100819] CORREA LOLI (CARAMELO),""2025-12-05 18:47:34"",""0.0"""
"[103102] SOMBRERO ALGODON (XL, TOSTADO/NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100823] CORREA LOLI (TABACO),""2025-12-05 18:47:34"",""0.0"""
"[100822] CORREA LOLI (ROJO),""2025-12-05 18:47:34"",""0.0"""
"[100820] CORREA LOLI (MALBEC),""2025-12-05 18:47:34"",""0.0"""
"[100824] CORREA LOLI (VERDE),""2025-12-05 18:47:34"",""0.0"""
"[103103] SOMBRERO ALGODON (2XL, TOSTADO/NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100818] CORREA LOLI (AZUL),""2025-12-05 18:47:34"",""0.0"""
"[100826] CORREA LORE (NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[103104] SOMBRERO ALGODON (XS, NATURAL/NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100825] CORREA LORE (CARAMELO),""2025-12-05 18:47:34"",""0.0"""
"[103105] SOMBRERO ALGODON (S, NATURAL/NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[103106] SOMBRERO ALGODON (M, NATURAL/NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[103107] SOMBRERO ALGODON (L, NATURAL/NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[103108] SOMBRERO ALGODON (XL, NATURAL/NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[103109] SOMBRERO ALGODON (2XL, NATURAL/NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[103115] SOMBRERO RAFIA (S, TOSTADO/BLANCO),""2025-12-05 18:47:34"",""0.0"""
"[103116] SOMBRERO RAFIA (L, TOSTADO/BLANCO),""2025-12-05 18:47:34"",""0.0"""
"[103117] SOMBRERO RAFIA (XL, TOSTADO/BLANCO),""2025-12-05 18:47:34"",""0.0"""
"[103118] SOMBRERO RAFIA (S, NATURAL/AZUL),""2025-12-05 18:47:34"",""0.0"""
"[101371] PORTALENTES COLBY (FIORENTINO, CEDRO),""2025-12-05 18:47:34"",""0.0"""
"[101368] PORTALENTES COLBY (BRIDGE, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101683] TAG SIMPLE (NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101677] TAG INICIALES (VAQUETA, NATURAL),""2025-12-05 18:47:34"",""0.0"""
"[101680] TAG INICIALES (VAQUETA, VISON),""2025-12-05 18:47:34"",""0.0"""
"[101678] TAG INICIALES (VAQUETA, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101679] TAG INICIALES (VAQUETA, SUELA),""2025-12-05 18:47:34"",""0.0"""
"[101676] TAG INICIALES (VAQUETA, CHOCOLATE),""2025-12-05 18:47:34"",""0.0"""
"[100969] LLAVERO INICIALES (NAPADO, AZUL),""2025-12-05 18:47:34"",""0.0"""
"[101670] TAG AMAYA (VISON),""2025-12-05 18:47:34"",""0.0"""
"[101079] MOCHILA MARCOS FULL BLACK (BRIDGE),""2025-12-05 18:47:34"",""0.0"""
"[100341] CAMISA LISA ALGODON (40, BEIGE),""2025-12-05 18:47:34"",""0.0"""
"[100342] CAMISA LISA ALGODON (42, BEIGE),""2025-12-05 18:47:34"",""0.0"""
"[101282] PORTACABLES (3) (FIORENTINO, CEDRO),""2025-12-05 18:47:34"",""0.0"""
"[101288] PORTACINTO ELIAS (MODENA, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101289] PORTACINTO ELIAS (MODENA, TABACO),""2025-12-05 18:47:34"",""0.0"""
"[101287] PORTACINTO ELIAS (FIORENTINO, CEDRO),""2025-12-05 18:47:34"",""0.0"""
"[100057] BANDOLERA NATY (VERDE),""2025-12-05 18:47:34"",""0.0"""
"[103119] SOMBRERO RAFIA (XS, TOSTADO/NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[103120] SOMBRERO RAFIA (S, TOSTADO/NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[103121] SOMBRERO RAFIA (M, TOSTADO/NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[103122] SOMBRERO RAFIA (L, TOSTADO/NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[103123] SOMBRERO RAFIA (XL, TOSTADO/NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[103124] SOMBRERO RAFIA (XS, TOSTADO/CHOCOLATE),""2025-12-05 18:47:34"",""0.0"""
"[103125] SOMBRERO RAFIA (XS, NATURAL/NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[103126] SOMBRERO RAFIA (S, NATURAL/NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[103127] SOMBRERO RAFIA (M, NATURAL/NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[103128] SOMBRERO RAFIA (L, NATURAL/NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[103129] SOMBRERO RAFIA (XL, NATURAL/NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[103110] SOMBRERO ALGODON (XS, TOSTADO/CHOCOLATE),""2025-12-05 18:47:34"",""0.0"""
"[103111] SOMBRERO ALGODON (S, TOSTADO/CHOCOLATE),""2025-12-05 18:47:34"",""0.0"""
"[103112] SOMBRERO ALGODON (M, TOSTADO/CHOCOLATE),""2025-12-05 18:47:34"",""0.0"""
"[103113] SOMBRERO ALGODON (L, TOSTADO/CHOCOLATE),""2025-12-05 18:47:34"",""0.0"""
"[103114] SOMBRERO ALGODON (XL, TOSTADO/CHOCOLATE),""2025-12-05 18:47:34"",""0.0"""
"[101666] TAG AMAYA (CHOCOLATE),""2025-12-05 18:47:34"",""0.0"""
"[101667] TAG AMAYA (NATURAL),""2025-12-05 18:47:34"",""0.0"""
"[101847] ZAPATILLA URBANA (40, BORGOÑA),""2025-12-05 18:47:34"",""0.0"""
"[101850] ZAPATILLA URBANA (43, BORGOÑA),""2025-12-05 18:47:34"",""0.0"""
"[101851] ZAPATILLA URBANA (44, BORGOÑA),""2025-12-05 18:47:34"",""0.0"""
"[101096] MOCHILA PIETRO (BRIDGE, CARAMELO),""2025-12-05 18:47:34"",""0.0"""
"[100980] LLAVERO KAREN (AZUL/MARSALA),""2025-12-05 18:47:34"",""0.0"""
"[100996] LLAVERO KAREN (NEGRO/OXIDO),""2025-12-05 18:47:34"",""0.0"""
"[100997] LLAVERO KAREN (NEGRO/VESUBIO),""2025-12-05 18:47:34"",""0.0"""
"[100993] LLAVERO KAREN (NEGRO/GRIS MEDIO),""2025-12-05 18:47:34"",""0.0"""
"[101789] TARJETERO RUBI (DUNA, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100988] LLAVERO KAREN (CARAMELO/OLIVE),""2025-12-05 18:47:34"",""0.0"""
"[101872] ZAPATILLA URBANA (44, TABACO),""2025-12-05 18:47:34"",""0.0"""
"[103130] ZAPATILLA MATEO (43, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101839] ZAPATILLA MATEO (39, TABACO),""2025-12-05 18:47:34"",""0.0"""
"[101842] ZAPATILLA MATEO (45, TABACO),""2025-12-05 18:47:34"",""0.0"""
"[101832] ZAPATILLA MATEO (39, BORGOÑA),""2025-12-05 18:47:34"",""0.0"""
"[101835] ZAPATILLA MATEO (45, BORGOÑA),""2025-12-05 18:47:34"",""0.0"""
"[101829] ZAPATILLA MATEO (44, AZUL),""2025-12-05 18:47:34"",""0.0"""
"[100397] CAMPERA CHANDRA (L, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101838] ZAPATILLA MATEO (45, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101843] ZAPATILLA MATEO (39, VERDE),""2025-12-05 18:47:34"",""0.0"""
"[101636] SEÑALADOR (SUELA),""2025-12-05 18:47:34"",""0.0"""
"[101635] SEÑALADOR (NATURAL),""2025-12-05 18:47:34"",""0.0"""
"[101634] SEÑALADOR (CHOCOLATE),""2025-12-05 18:47:34"",""0.0"""
"[101341] PORTALAPICERAS (VAQUETA, VISON),""2025-12-05 18:47:34"",""0.0"""
"[101121] MONEDERO AMBAR (NAPADO, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101119] MONEDERO AMBAR (NAPADO, AZUL),""2025-12-05 18:47:34"",""0.0"""
"[100215] BILLETERA OSADIA (BRIDGE, MALBEC),""2025-12-05 18:47:34"",""0.0"""
"[101207] NECESSAIRE FELI (BRIDGE, ROJO),""2025-12-05 18:47:34"",""0.0"""
"[101222] NECESSAIRE LARA (IGUANA, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101217] NECESSAIRE LARA (BRIDGE, CARAMELO),""2025-12-05 18:47:34"",""0.0"""
"[101219] NECESSAIRE LARA (BRIDGE, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101220] NECESSAIRE LARA (FIORENTINO, CEDRO),""2025-12-05 18:47:34"",""0.0"""
"[101266] PORTACABLES  (1) (FIORENTINO, CEDRO),""2025-12-05 18:47:34"",""0.0"""
"[101268] PORTACABLES  (1) (VAQUETA, CHOCOLATE),""2025-12-05 18:47:34"",""0.0"""
"[101271] PORTACABLES  (1) (VAQUETA, SUELA),""2025-12-05 18:47:34"",""0.0"""
"[101269] PORTACABLES  (1) (VAQUETA, DULCE DE LECHE),""2025-12-05 18:47:34"",""0.0"""
"[101267] PORTACABLES  (1) (MODENA, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101270] PORTACABLES  (1) (VAQUETA, NATURAL),""2025-12-05 18:47:34"",""0.0"""
"[101291] PORTACINTO LOU (BRIDGE, TABACO),""2025-12-05 18:47:34"",""0.0"""
"[101285] PORTACINTO ELIAS (BRIDGE, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101286] PORTACINTO ELIAS (BRIDGE, TABACO),""2025-12-05 18:47:34"",""0.0"""
"[101684] TAG SIMPLE (ROJO),""2025-12-05 18:47:34"",""0.0"""
"[100132] BILLETERA ADAM (NAPADO, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100133] BILLETERA ADAM (NAPADO, SUELA),""2025-12-05 18:47:34"",""0.0"""
"[101130] MONEDERO CORY (IGUANA, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101773] TARJETERO NEW KENNY (BRIDGE, ROJO),""2025-12-05 18:47:34"",""0.0"""
"[100535] CARTERA LISBOA (DUNA, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101324] PORTAHIGIENE (BRIDGE, CARAMELO),""2025-12-05 18:47:34"",""0.0"""
"[100994] LLAVERO KAREN (NEGRO/GRIS OSCURO),""2025-12-05 18:47:34"",""0.0"""
"[101419] PORTALENTES MANU (VAQUETA, NATURAL),""2025-12-05 18:47:34"",""0.0"""
"[101325] PORTAHIGIENE (BRIDGE, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101326] PORTAHIGIENE (BRIDGE, TABACO),""2025-12-05 18:47:34"",""0.0"""
"[101128] MONEDERO CORY (DUNA, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101132] MONEDERO CORY (NAPADO, CARAMELO),""2025-12-05 18:47:34"",""0.0"""
"[101206] NECESSAIRE FELI (BRIDGE, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101208] NECESSAIRE FELI (BRIDGE, TABACO),""2025-12-05 18:47:34"",""0.0"""
"[101434] PORTALENTES ORION (VINTAGE, MEDIO),""2025-12-05 18:47:34"",""0.0"""
"[101151] MONEDERO GRACE (VINTAGE, MEDIO),""2025-12-05 18:47:34"",""0.0"""
"[101762] TARJETERO MULTI (DUNA, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101769] TARJETERO MULTI (NAPADO, SUELA),""2025-12-05 18:47:34"",""0.0"""
"[100642] CHOMBA POLO NAOS (L, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100199] BILLETERA LUCA (NAPADO, MALBEC),""2025-12-05 18:47:34"",""0.0"""
"[100201] BILLETERA LUCA (NAPADO, ROJO),""2025-12-05 18:47:34"",""0.0"""
"[100971] LLAVERO INICIALES (NAPADO, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100192] BILLETERA LUCA (DUNA, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101197] MOUSEPAD (NAPADO, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100895] INDIVIDUAL CURVO (BRIDGE, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100897] INDIVIDUAL CURVO (BRIDGE, TABACO),""2025-12-05 18:47:34"",""0.0"""
"[100899] INDIVIDUAL CURVO (NAPADO, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100898] INDIVIDUAL CURVO (NAPADO, CARAMELO),""2025-12-05 18:47:34"",""0.0"""
